t_s,mem_util_pct,gpu_util_pct,phase
22.60911108100845,81,67,util_75
22.629902091008262,81,67,util_75
22.650960001003114,81,67,util_75
22.67189291199611,81,67,util_75
22.69294252200052,81,67,util_75
22.713842832003138,81,67,util_75
22.73468044200854,81,68,util_75
22.756137652002508,81,68,util_75
22.77774386300007,81,68,util_75
22.79895437300729,81,68,util_75
22.820097882999107,81,68,util_75
22.841426693004905,81,68,util_75
22.862347304006107,81,68,util_75
22.883393914002227,81,68,util_75
22.904282424002304,81,68,util_75
22.925036433996866,80,67,util_75
22.945907344997977,80,67,util_75
22.966731955006253,80,67,util_75
22.987568465003278,80,67,util_75
23.008505575999152,80,67,util_75
23.029496586008463,80,67,util_75
23.050591296007042,80,67,util_75
23.07156740699429,80,67,util_75
23.092612916996586,80,67,util_75
23.11367832799442,80,67,util_75
23.13429923800868,81,67,util_75
23.155014147996553,81,67,util_75
23.17568985899561,81,67,util_75
23.196810669003753,81,67,util_75
23.217942079005297,81,67,util_75
23.239093090000097,81,67,util_75
23.260550300998148,81,67,util_75
23.281642910995288,81,67,util_75
23.3025687210029,81,67,util_75
23.323328131999006,82,69,util_75
23.344219142003567,82,69,util_75
23.365340253003524,82,69,util_75
23.386326663006912,82,69,util_75
23.407147272999282,82,69,util_75
23.42798828400555,82,69,util_75
23.44888219400309,82,69,util_75
23.46995460400649,82,69,util_75
23.490836315002525,82,69,util_75
23.511664125006064,82,69,util_75
23.532484834999195,82,68,util_75
23.55340504599735,82,68,util_75
23.574428156003705,82,68,util_75
23.595289267002954,82,68,util_75
23.616479777003406,82,68,util_75
23.6377853879967,82,68,util_75
23.65952049799671,82,68,util_75
23.680950409005163,82,68,util_75
23.702579520002473,82,68,util_75
23.72345772999688,81,68,util_75
23.74423674000718,81,68,util_75
23.766192050999962,81,68,util_75
23.787367562006693,81,68,util_75
23.808299372001784,81,68,util_75
23.82954498300387,81,68,util_75
23.85034399300639,81,68,util_75
23.87111060299503,81,68,util_75
23.892311414005235,81,68,util_75
23.91309312400699,81,68,util_75
23.93438113499724,80,67,util_75
23.95535064600699,80,67,util_75
23.976590856997063,80,67,util_75
23.99784106700099,80,67,util_75
24.01885487799882,80,67,util_75
24.039967689008336,80,67,util_75
24.060795598998084,80,67,util_75
24.0816551099997,80,67,util_75
24.102352019996033,80,67,util_75
24.123067231004825,81,68,util_75
24.14368884099531,81,68,util_75
24.164756951999152,81,68,util_75
24.18541416300286,81,68,util_75
24.206044673002907,81,68,util_75
24.22689358399657,81,68,util_75
24.24770739399537,81,68,util_75
24.2689895049989,81,68,util_75
24.289900616000523,81,68,util_75
24.311037727005896,81,68,util_75
24.332417737008655,81,67,util_75
24.353603648007265,81,67,util_75
24.374494559000595,81,67,util_75
24.395778670004802,81,67,util_75
24.41699718000018,81,67,util_75
24.438138990997686,81,67,util_75
24.459497602001647,81,67,util_75
24.4803865129943,81,67,util_75
24.50129452299734,81,67,util_75
24.5220548340003,81,68,util_75
24.54289074400731,81,68,util_75
24.56400715500058,81,68,util_75
24.584941966008046,81,68,util_75
24.605706076006754,81,68,util_75
24.626590986998053,81,68,util_75
24.647539598008734,81,68,util_75
24.668383208001615,81,68,util_75
24.689227419003146,81,68,util_75
24.710235628997907,81,68,util_75
24.73100873999647,81,67,util_75
24.751869750994956,81,67,util_75
24.77317966100236,81,67,util_75
24.79445367200242,81,67,util_75
24.815470183006255,81,67,util_75
24.836938394000754,81,67,util_75
24.85822400500183,81,67,util_75
24.8794455150055,81,67,util_75
24.900257725996198,81,67,util_75
24.921042236994253,81,69,util_75
24.941887748005684,81,69,util_75
24.963153258999228,81,69,util_75
24.98404646999552,81,69,util_75
25.004876279999735,81,69,util_75
25.025799691007705,81,69,util_75
25.04663100199832,81,69,util_75
25.067412413001875,81,69,util_75
25.08839032400283,81,69,util_75
25.109125035000034,81,69,util_75
25.12979634500516,81,68,util_75
25.150425656000152,81,68,util_75
25.171160967001924,81,68,util_75
